Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,532.90,563.75,450.70,455.15,11127353,362209,5767072459.00,1715368,15.42,113.05,-77.75
October-2014,457.30,480.65,431.20,474.90,8580849,280869,3889287901.00,1218956,14.21,49.45,17.60
November-2014,479.20,536.50,458.65,524.35,14668770,475772,7317201501.00,2368655,16.15,77.85,45.15
December-2014,525.00,550.00,459.55,494.50,16865381,594900,8592820958.00,2106344,12.49,90.45,-30.50
January-2015,494.00,509.25,447.30,485.85,12148522,442507,5760693932.00,2127964,17.52,61.95,-8.15
February-2015,487.40,496.15,427.00,457.15,10524169,375491,4841485516.00,1294377,12.30,69.15,-30.25
March-2015,461.10,515.00,414.50,424.55,14287872,465494,6592324767.00,2957046,20.70,100.50,-36.55
April-2015,427.60,464.50,399.30,403.90,7882816,269495,3406116744.00,1193249,15.14,65.20,-23.70
May-2015,407.00,424.70,379.60,395.15,7927790,185526,3157674368.00,1200745,15.15,45.10,-11.85
June-2015,405.00,407.00,335.50,362.15,11198334,191198,4043613544.00,2436460,21.76,71.50,-42.85
July-2015,362.00,399.45,351.85,389.90,9677709,175615,3635503860.00,1585177,16.38,47.60,27.90
August-2015,386.50,405.90,250.80,314.80,13833532,225021,4625940163.00,2238136,16.18,155.10,-71.70
September-2015,308.15,377.90,301.60,375.60,12118595,231834,4086831730.00,2103422,17.36,76.30,67.45
October-2015,379.00,428.00,369.60,421.25,8581367,172290,3443325572.00,1055254,12.30,58.40,42.25
November-2015,418.10,441.10,389.90,437.55,6892372,144134,2860961519.00,841790,12.21,51.20,19.45
December-2015,441.00,447.70,384.75,437.65,8735224,179545,3635557190.00,1045727,11.97,62.95,-3.35
January-2016,436.95,470.80,339.55,384.20,17623577,339838,7166288429.00,1802866,10.23,131.25,-52.75
February-2016,385.20,387.00,303.60,321.50,12373941,242215,4168972168.00,1358697,10.98,83.40,-63.70
March-2016,321.60,383.80,320.60,368.15,11445629,230738,4175639986.00,1189550,10.39,63.20,46.55
April-2016,367.00,411.40,361.00,403.85,10036571,215404,3898091694.00,1216458,12.12,50.40,36.85
May-2016,404.00,421.70,377.10,410.90,10046866,204094,4023256010.00,1225130,12.19,44.60,6.90
