Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,515.15,531.00,451.10,459.30,15703519,446983,7846398832.00,4086117,26.02,79.90,-55.85
October-2014,457.00,492.70,435.45,489.35,13842160,460458,6308199319.00,3344473,24.16,57.25,32.35
November-2014,492.00,495.30,458.65,473.30,12192132,335003,5781023759.00,2240457,18.38,36.65,-18.70
December-2014,474.00,474.90,387.05,399.35,15728367,435356,6583115597.00,3160684,20.10,87.85,-74.65
January-2015,396.00,421.20,372.55,390.45,17192976,451702,6799866787.00,4924300,28.64,48.65,-5.55
February-2015,391.00,394.80,344.95,355.65,15574694,437147,5698091972.00,3112284,19.98,49.85,-35.35
March-2015,358.55,359.25,311.30,316.85,16796078,429972,5609771164.00,4149048,24.70,47.95,-41.70
April-2015,316.50,378.45,316.10,360.50,15860525,407079,5547435792.00,3109212,19.60,62.35,44.00
May-2015,363.00,384.20,322.40,328.50,14410468,262835,5142408627.00,2770766,19.23,61.80,-34.50
June-2015,329.00,333.00,287.55,304.70,16801022,218375,5123483295.00,2900555,17.26,45.45,-24.30
July-2015,305.50,310.30,245.25,247.30,18888932,233076,5216574407.00,5069343,26.84,65.05,-58.20
August-2015,247.30,268.20,200.40,225.05,34197037,356513,8138928401.00,7664571,22.41,67.80,-22.25
September-2015,221.00,243.90,200.00,211.90,28493688,296262,6354715481.00,5798382,20.35,43.90,-9.10
October-2015,215.95,261.95,210.40,246.75,22259421,252639,5380503519.00,3638684,16.35,51.55,30.80
November-2015,247.10,247.10,213.00,230.05,17547184,183560,3994662420.00,3056008,17.42,34.10,-17.05
December-2015,230.50,266.25,225.00,259.55,22818098,221514,5660798636.00,3709106,16.26,41.25,29.05
January-2016,261.00,276.20,225.30,250.05,22640340,236296,5657131878.00,3148303,13.91,50.90,-10.95
February-2016,251.00,263.50,211.30,249.10,28821977,298190,6881438081.00,3381463,11.73,52.20,-1.90
March-2016,250.00,325.85,246.70,319.50,25306289,319280,7467152172.00,3804484,15.03,79.15,69.50
April-2016,318.00,364.15,308.40,350.55,22536945,306955,7625997265.00,2555967,11.34,55.75,32.55
May-2016,350.00,355.45,311.20,334.45,18727394,262601,6164121177.00,2609081,13.93,44.25,-15.55
June-2016,335.50,348.25,297.40,321.90,18407288,259435,6011663690.00,2694274,14.64,50.85,-13.60
July-2016,325.05,379.25,312.00,354.75,22146559,290938,7778857562.00,4225009,19.08,67.25,29.70
August-2016,359.00,394.60,354.00,370.45,19648346,232970,7409820203.00,3696129,18.81,40.60,11.45
September-2016,370.80,408.50,355.40,374.40,19794051,217909,7480452444.00,4179779,21.12,53.10,3.60
October-2016,376.00,431.65,375.00,404.65,17430076,202779,7097299549.00,3407052,19.55,56.65,28.65
November-2016,404.00,440.90,366.05,414.95,17851834,232384,7245297857.00,2566071,14.37,74.85,10.95
December-2016,417.55,435.40,377.45,391.10,11996421,154261,4917146180.00,1728756,14.41,57.95,-26.45
January-2017,390.20,476.35,388.95,462.40,17017427,208172,7497461921.00,3861994,22.69,87.40,72.20
February-2017,462.55,495.85,455.70,482.65,14459427,166222,6855990001.00,3149124,21.78,40.15,20.10
March-2017,483.30,508.45,462.50,482.65,13894316,165704,6770196278.00,3201260,23.04,45.95,-0.65
April-2017,485.00,505.80,442.60,448.85,11862807,129645,5579753884.00,2752882,23.21,63.20,-36.15
May-2017,450.05,520.40,428.25,504.90,25597116,255806,12057377327.00,5498296,21.48,92.15,54.85
June-2017,506.20,546.80,487.50,544.35,13405300,159552,6840777776.00,2991518,22.32,59.30,38.15
July-2017,544.05,572.00,541.95,567.55,10548255,130543,5873671584.00,3210373,30.44,30.05,23.50
August-2017,569.10,642.60,558.00,638.00,11546864,140742,7035530544.00,3026522,26.21,84.60,68.90
September-2017,641.00,696.55,623.00,651.05,8841728,110386,5855084954.00,2333541,26.39,73.55,10.05
October-2017,655.05,734.90,654.25,703.65,7503317,92625,5270882605.00,2479124,33.04,80.65,48.60
November-2017,707.00,717.95,669.70,695.15,6853226,89339,4800893250.00,2138278,31.20,48.25,-11.85
December-2017,696.00,744.35,660.60,732.45,6031305,83211,4234980894.00,1487952,24.67,83.75,36.45
