Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
September-2014,846.00,880.00,839.00,871.50,5594864,124128,4799493680.00,2727099,48.74,41.00,25.50
October-2014,868.25,914.15,854.00,912.20,4293140,104083,3809240418.00,2336308,54.42,60.15,43.95
November-2014,912.00,965.45,893.35,957.40,3633336,111121,3352788192.00,1636298,45.04,72.10,45.40
December-2014,957.15,973.85,916.45,952.00,2981184,94855,2808031616.00,1257777,42.19,57.40,-5.15
January-2015,952.00,1099.70,932.00,1076.00,5165521,166958,5237599532.00,2976905,57.63,167.70,124.00
February-2015,1068.00,1093.15,1030.55,1067.85,3720191,133911,3955298740.00,1913612,51.44,62.60,-0.15
March-2015,1082.00,1105.00,1002.55,1022.85,4233625,158697,4476986808.00,2098139,49.56,102.45,-59.15
April-2015,1026.00,1058.00,979.35,989.20,2106327,112698,2137277042.00,743355,35.29,78.65,-36.80
May-2015,995.00,1054.50,944.70,1051.10,2312320,79000,2291206992.00,1130173,48.88,109.80,56.10
June-2015,1051.25,1072.10,990.25,1067.45,2133138,69627,2181939000.00,851609,39.92,81.85,16.20
July-2015,1063.00,1127.90,1055.05,1111.20,3327359,73191,3663758372.00,1685415,50.65,72.85,48.20
August-2015,1111.20,1117.90,1007.05,1028.15,1725788,55826,1829589363.00,539178,31.24,110.85,-83.05
September-2015,1027.45,1074.00,977.60,1068.90,1669598,58659,1707322259.00,644190,38.58,96.40,41.45
October-2015,1070.00,1124.45,1060.20,1097.05,3136548,55731,3444819350.00,1886651,60.15,64.25,27.05
November-2015,1097.05,1097.90,1040.50,1075.95,1050978,31939,1120354641.00,415208,39.51,57.40,-21.10
December-2015,1073.00,1090.90,1040.00,1082.75,1062760,35182,1136281855.00,279961,26.34,50.90,9.75
January-2016,1084.90,1090.00,1008.35,1048.95,2348663,52521,2453945618.00,862150,36.71,81.65,-35.95
February-2016,1055.00,1066.95,928.80,972.55,2211325,68932,2178135247.00,967677,43.76,138.15,-82.45
March-2016,980.00,1078.70,972.50,1071.20,4152545,57474,4260910834.00,3266632,78.67,106.20,91.20
April-2016,1066.00,1136.00,1043.00,1133.45,1773754,42038,1920918737.00,789372,44.50,93.00,67.45
May-2016,1130.00,1194.80,1110.05,1181.35,1531540,44598,1761135055.00,820728,53.59,84.75,51.35
June-2016,1181.00,1192.30,1144.25,1175.90,2733826,48332,3195360873.00,1675944,61.30,48.05,-5.10
July-2016,1178.90,1250.00,1161.00,1246.55,2558930,45539,3095691626.00,1232695,48.17,89.00,67.65
August-2016,1246.55,1294.70,1215.95,1290.75,2370643,37877,2956530551.00,1633745,68.92,78.75,44.20
September-2016,1290.75,1318.20,1265.50,1271.70,2133759,36232,2747454267.00,975518,45.72,52.70,-19.05
October-2016,1275.55,1299.90,1225.00,1253.70,1415832,34112,1784665865.00,738501,52.16,74.90,-21.85
November-2016,1253.70,1288.00,1159.30,1199.60,3089054,68203,3826626499.00,1535950,49.72,128.70,-54.10
December-2016,1209.80,1210.15,1165.00,1204.20,1871409,40911,2221194645.00,947099,50.61,45.15,-5.60
January-2017,1205.00,1300.00,1181.75,1286.95,8111762,45567,9946134566.00,2149454,26.50,118.25,81.95
February-2017,1288.00,1450.00,1280.55,1389.20,7210020,102401,10082679668.00,4553695,63.16,169.45,101.20
March-2017,1396.00,1478.00,1369.25,1442.30,7633392,48363,10828257232.00,6712028,87.93,108.75,46.30
April-2017,1445.00,1572.30,1425.00,1542.15,3024629,74184,4520077963.00,1643198,54.33,147.30,97.15
May-2017,1551.00,1648.00,1524.35,1633.35,1789092,39522,2789385724.00,978880,54.71,123.65,82.35
June-2017,1630.00,1715.60,1623.00,1652.25,1482822,38014,2474629184.00,734112,49.51,92.60,22.25
July-2017,1653.00,1797.85,1646.00,1783.35,2280179,72959,3874506788.00,1100467,48.26,151.85,130.35
August-2017,1784.00,1810.00,1732.80,1775.00,1110570,32142,1964006740.00,492764,44.37,77.20,-9.00
September-2017,1761.00,1868.00,1740.00,1803.05,1567786,42142,2837454631.00,774029,49.37,128.00,42.05
October-2017,1806.00,1876.95,1685.00,1808.80,1908447,44400,3447756798.00,992611,52.01,191.95,2.80
November-2017,1810.00,1875.00,1791.30,1852.05,3203117,24864,5853660199.00,406619,12.69,83.70,42.05
December-2017,1855.00,1905.00,1797.45,1873.55,5687868,35043,10472813972.00,770630,13.55,107.55,18.55
January-2018,1873.00,2011.90,1832.95,2006.35,2938260,47232,5704939357.00,1551653,52.81,178.95,133.35
February-2018,2007.00,2014.00,1837.00,1883.80,1404268,43494,2654050527.00,613204,43.67,177.00,-123.20
March-2018,1875.00,1910.30,1830.00,1891.45,2027874,35156,3766482577.00,1150593,56.74,80.30,16.45
April-2018,1892.00,1984.00,1880.25,1944.60,1455912,43700,2807671837.00,675593,46.40,103.75,52.60
May-2018,1948.35,2150.00,1947.30,2136.15,2372911,55060,4777983229.00,1127926,47.53,202.70,187.80
June-2018,2124.00,2170.05,2009.75,2108.05,2492621,73295,5179868083.00,785761,31.52,160.30,-15.95
July-2018,2086.25,2219.05,2065.00,2181.05,1514165,66357,3260258802.00,535832,35.39,154.05,94.80
August-2018,2179.00,2179.00,2055.00,2062.25,1751687,62649,3686801878.00,978998,55.89,124.00,-116.75
September-2018,2067.00,2080.00,1913.80,2005.65,2147912,83150,4291971454.00,985100,45.86,166.20,-61.35
October-2018,2015.00,2052.00,1884.40,1911.85,6215324,97444,11998284997.00,4532306,72.92,167.60,-103.15
November-2018,1925.00,2137.50,1896.80,2117.15,4969802,66829,9944158538.00,3936243,79.20,240.70,192.15
December-2018,2122.25,2158.15,2032.15,2122.45,2126648,70926,4482270045.00,835605,39.29,126.00,0.20
January-2019,2123.00,2173.00,2023.00,2081.15,5583172,75145,11797178119.00,3827929,68.56,150.00,-41.85
February-2019,2082.00,2154.35,2076.05,2082.15,1872998,57258,3956528422.00,672265,35.89,78.30,0.15
March-2019,2084.00,2327.00,2070.25,2316.50,3137964,76959,6992305682.00,1821244,58.04,256.75,232.50
April-2019,2325.00,2332.35,2237.00,2315.50,5243796,112558,11937355336.00,1658068,31.62,95.35,-9.50
May-2019,2321.00,2463.95,2271.40,2424.90,2740030,114645,6507573833.00,1186850,43.32,192.55,103.90
June-2019,2434.50,2494.00,2403.40,2446.40,2202269,73651,5369287763.00,586043,26.61,90.60,11.90
July-2019,2451.10,2502.90,2223.10,2251.80,4136167,145319,9840248851.00,2271619,54.92,279.80,-199.30
August-2019,2233.00,2288.00,2139.50,2228.90,4287228,135538,9492540437.00,2662232,62.10,148.50,-4.10
September-2019,2225.00,2288.50,1084.40,1227.35,6292379,176207,9638236793.00,2640682,41.97,1204.10,-997.65
October-2019,1234.00,1263.90,1181.00,1229.95,6089766,158149,7487390246.00,1608192,26.41,82.90,-4.05
November-2019,1240.00,1287.55,1228.20,1274.25,4441618,103499,5606482343.00,2821196,63.52,59.35,34.25
December-2019,1275.00,1304.10,1213.15,1271.80,3151695,112142,4003760530.00,1411203,44.78,90.95,-3.20
January-2020,1275.00,1303.80,1211.50,1225.70,17275972,180883,21945563836.00,7026570,40.67,92.30,-49.30
February-2020,1218.25,1263.80,1170.10,1177.60,6990600,160087,8518721451.00,5400212,77.25,93.70,-40.65
March-2020,1195.00,1200.05,738.90,862.00,32057730,796430,30762844597.00,16361451,51.04,461.15,-333.00
April-2020,869.90,1018.90,810.00,1001.75,16827174,457915,15328635658.00,7201387,42.80,208.90,131.85
May-2020,964.00,964.00,826.00,951.25,19576107,487208,17624209453.00,10193772,52.07,138.00,-12.75
June-2020,970.00,1082.00,928.00,1065.70,18633917,521055,18845562456.00,6353072,34.09,154.00,95.70
July-2020,1065.70,1157.85,1020.60,1032.65,15615887,467874,17092363526.00,6089893,39.00,137.25,-33.05
August-2020,1030.00,1148.00,994.00,1115.20,12671378,372224,13507707984.00,4517656,35.65,154.00,85.20
September-2020,1122.00,1145.75,1025.15,1079.20,7964655,223191,8598756887.00,3188352,40.03,120.60,-42.80
October-2020,1085.00,1250.50,1085.00,1183.45,10715104,307145,12881393047.00,5082561,47.43,165.50,98.45
