Company Name,Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Tata C,Sep-14,2525,2780,2515,2738.2,1523230,159205,4040513891,618002,40.57,265,213.2
Tata C,Oct-14,2749,2834,2415.65,2604.55,2510523,252007,6447161904,1076291,42.87,418.35,-144.45
Tata C,Nov-14,2645,2688,2551,2643.1,980896,144542,2553912388,376686,38.4,137,-1.9
Tata C,Dec-14,2643,2709,2348.25,2554.7,1253975,181739,3148813465,449156,35.82,360.75,-88.3
Tata C,Jan-15,2554.35,2599.05,2407.4,2481,2486487,207767,6255326910,1464377,58.89,191.65,-73.35
Tata C,Feb-15,2482.1,2727,2436,2675.3,1611720,200168,4158669890,586485,36.39,291,193.2
Tata C,Mar-15,2675.1,2810,2501.65,2547.05,1423069,199773,3736563832,447879,31.47,308.35,-128.05
Tata C,Apr-15,2565,2712,2402,2466.65,2452454,217528,6134339020,750624,30.61,310,-98.35
Tata C,May-15,2482,2646.95,2456.6,2610.6,2734559,128164,6908024564,1996279,73,190.35,128.6
Tata C,Jun-15,2610.25,2644.85,2477,2552.2,1116353,79795,2863794646,439177,39.34,167.85,-58.05
Tata C,Jul-15,2565,2646.65,2455,2510,1463153,113272,3707093157,594062,40.6,191.65,-55
Tata C,Aug-15,2509.9,2750.95,2485.8,2565.25,1095999,89269,2877889840,373202,34.05,265.15,55.35
Tata C,Sep-15,2567,2641.8,2493.9,2587.7,988569,71146,2530268671,442601,44.77,147.9,20.7
Tata C,Oct-15,2600,2769,2458,2497.3,1945200,127910,4954038097,933021,47.97,311,-102.7
Tata C,Nov-15,2497,2551,2333,2365.25,1240003,80626,3002038586,595947,48.06,218,-131.75
Tata C,Dec-15,2365,2464.5,2316.65,2439.2,1540410,85381,3677615778,788746,51.2,147.85,74.2
Tata C,Jan-16,2432.1,2436.35,2243.75,2391.2,1609051,100410,3718738226,777884,48.34,192.6,-40.9
Tata C,Feb-16,2392,2439.95,2119,2181.9,2318321,86524,5272622193,1675572,72.28,320.95,-210.1
Tata C,Mar-16,2182.5,2534,2163.5,2516.05,1087795,75429,2602677986,523538,48.13,370.5,333.55
Tata C,Apr-16,2505.05,2553.15,2404.95,2530.05,1744830,111777,4337151080,672762,38.56,148.2,25
Tata C,May-16,2530.05,2645.45,2432,2575.1,1263930,88646,3191311515,632351,50.03,213.45,45.05
Tata C,Jun-16,2577.9,2675.45,2455,2550.8,1303910,96187,3346796213,553475,42.45,220.45,-27.1
Tata C,Jul-16,2553.1,2632,2404.5,2618.55,1382846,114131,3444047578,495486,35.83,227.5,65.45
Tata C,Aug-16,2620,2740,2471.15,2512.55,1211478,72569,3198562213,558242,46.08,268.85,-107.45
Tata C,Sep-16,2529,2544,2287,2427.2,3997517,110720,9601488745,2962736,74.11,257,-101.8
Tata C,Oct-16,2440,2455,2298.85,2394.6,2096477,67645,4998977854,1402439,66.9,156.15,-45.4
Tata C,Nov-16,2394,2394.6,2054.7,2276.75,3258480,95325,7255677577,2213485,67.93,339.9,-117.25
Tata C,Dec-16,2290,2375.9,2151,2361.95,1180000,72142,2651828241,509294,43.16,224.9,71.95
Tata C,Jan-17,2365,2387,2206.55,2229.9,2200387,107088,5043979523,1096678,49.84,180.45,-135.1
Tata C,Feb-17,2224.35,2555,2154.3,2466.5,2671385,125884,6291895261,1284101,48.07,400.7,242.15
Tata C,Mar-17,2484,2584,2407,2431.1,1999462,75494,4994081705,1283129,64.17,177,-52.9
Tata C,Apr-17,2435,2448,2255,2272.1,1278563,62804,2980033944,551803,43.16,193,-162.9
Tata C,May-17,2297,2636,2271.45,2544.35,3292804,99267,8080775340,2322528,70.53,364.55,247.35
Tata C,Jun-17,2530,2707.4,2325,2364.35,2326625,96957,5809139477,1255028,53.94,382.4,-165.65
